ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2023;SCLA;NF;44;Fondo retribuzione di posizione e risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SCLA;NF;44;Fondo retribuzione di posizione e risultato;81;Decurtazioni;F;FINANZIA
2023;SSNA;DR;72;Fondo per la retribuzione degli incarichi;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;DR;72;Fondo per la retribuzione degli incarichi;9;Risorse variabili;F;FINANZIA
2023;SSNA;DR;72;Fondo per la retribuzione degli incarichi;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;DR;72;Fondo per la retribuzione degli incarichi;81;Decurtazioni;F;FINANZIA
2023;SSNA;DR;73;Fondo per la retribuzione di risultato;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;DR;73;Fondo per la retribuzione di risultato;9;Risorse variabili;F;FINANZIA
2023;SSNA;DR;73;Fondo per la retribuzione di risultato;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;DR;73;Fondo per la retribuzione di risultato;81;Decurtazioni;F;FINANZIA
2023;SSNA;DR;74;Fondo per la retribuzione delle condizioni di lavoro;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;DR;74;Fondo per la retribuzione delle condizioni di lavoro;9;Risorse variabili;F;FINANZIA
2023;SSNA;DR;74;Fondo per la retribuzione delle condizioni di lavoro;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;DR;74;Fondo per la retribuzione delle condizioni di lavoro;81;Decurtazioni;F;FINANZIA
2023;SSNA;ND;69;Trattamento accessorio ruolo Ricerca IRCCS/IZS;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;ND;69;Trattamento accessorio ruolo Ricerca IRCCS/IZS;9;Risorse variabili;F;FINANZIA
2023;SSNA;ND;69;Trattamento accessorio ruolo Ricerca IRCCS/IZS;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;ND;93;Fondo incarichi, progressioni economiche e indennità professionali;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;ND;93;Fondo incarichi, progressioni economiche e indennità professionali;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;ND;93;Fondo incarichi, progressioni economiche e indennità professionali;81;Decurtazioni;F;FINANZIA
2023;SSNA;ND;94;Fondo premialità e condizioni di lavoro;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;ND;94;Fondo premialità e condizioni di lavoro;9;Risorse variabili;F;FINANZIA
2023;SSNA;ND;94;Fondo premialità e condizioni di lavoro;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;ND;94;Fondo premialità e condizioni di lavoro;81;Decurtazioni;F;FINANZIA
2023;SSNA;NS;22;Fondo retribuzione di posizione;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;NS;22;Fondo retribuzione di posizione;9;Risorse variabili;F;FINANZIA
2023;SSNA;NS;22;Fondo retribuzione di posizione;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;NS;22;Fondo retribuzione di posizione;81;Decurtazioni;F;FINANZIA
2023;SSNA;NS;87;Fondo retribuzione di risultato e altri trattamenti accessori;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;SSNA;NS;87;Fondo retribuzione di risultato e altri trattamenti accessori;9;Risorse variabili;F;FINANZIA
2023;SSNA;NS;87;Fondo retribuzione di risultato e altri trattamenti accessori;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;SSNA;NS;87;Fondo retribuzione di risultato e altri trattamenti accessori;81;Decurtazioni;F;FINANZIA
2023;UCAM;ND;52;Fondo risorse decentrate;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;UCAM;ND;52;Fondo risorse decentrate;9;Risorse variabili;F;FINANZIA
2023;UCAM;ND;52;Fondo risorse decentrate;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UCAM;ND;52;Fondo risorse decentrate;81;Decurtazioni;F;FINANZIA
2023;UCAM;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;UCAM;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UCAM;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
2023;UCAM;ND;89;Fondo Quadri intermedi;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;UCAM;ND;89;Fondo Quadri intermedi;9;Risorse variabili;F;FINANZIA
2023;UCAM;ND;89;Fondo Quadri intermedi;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UCAM;ND;89;Fondo Quadri intermedi;81;Decurtazioni;F;FINANZIA
2023;UNIV;ND;18;Fondo per la retribuzione di posizione e di risultato EP;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;UNIV;ND;18;Fondo per la retribuzione di posizione e di risultato EP;9;Risorse variabili;F;FINANZIA
2023;UNIV;ND;18;Fondo per la retribuzione di posizione e di risultato EP;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UNIV;ND;18;Fondo per la retribuzione di posizione e di risultato EP;81;Decurtazioni;F;FINANZIA
2023;UNIV;ND;56;Fondo risorse decentrate per le categorie B, C e D;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2023;UNIV;ND;56;Fondo risorse decentrate per le categorie B, C e D;9;Risorse variabili;F;FINANZIA
2023;UNIV;ND;56;Fondo risorse decentrate per le categorie B, C e D;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UNIV;ND;56;Fondo risorse decentrate per le categorie B, C e D;81;Decurtazioni;F;FINANZIA
2023;UNIV;ND;63;Poste temporaneamente allocate all'esterno del Fondo BCD;2;Risorse a carico del bilancio;F;FINANZIA
2023;UNIV;ND;63;Poste temporaneamente allocate all'esterno del Fondo BCD;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UNIV;ND;64;Poste temporaneamente allocate all'esterno del Fondo EP;2;Risorse a carico del bilancio;F;FINANZIA
2023;UNIV;ND;64;Poste temporaneamente allocate all'esterno del Fondo EP;61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UNIV;ND;78;Straordinario (bilancio);2;Risorse a carico del bilancio;F;FINANZIA
2023;UNIV;ND;78;Straordinario (bilancio);61;Destinazioni erogate per prestazioni rese nell'anno di riferimento;U;UTILIZZO
2023;UNIV;ND;78;Straordinario (bilancio);81;Decurtazioni;F;FINANZIA
