ANNO;CODI_CONTRATTO;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA;CODI_VOCE_SPESA;DESC_VOCE_SPESA;FLAG_SEGNO
2023;REFR;F;FINANZIA;28M;ART 45 C 1 CCRL 19-21 - RIA E ASS AD PERS CESS AL 31.12.21;+
2023;REFR;F;FINANZIA;28O;ART 45 C 9 CCRL 19-21 - RIS PER INCR STABILE DOT. ORGANICA;+
2023;REFR;F;FINANZIA;28Q;ART 45 C 3 CCRL 19-21 - RIS VAR DIP T.I. AL 31.12.2020;+
2023;REFR;F;FINANZIA;28T;ART 45 C 8 L A) CCRL 19-21 - ALTRE SPEC DISP NORMATIVE;+
2023;REFR;F;FINANZIA;28Z;ART 45 C 10 CCRL 19-21 - RIS BILANCIO PRESTAZ. STRAORDINARIO;+
2023;REFR;F;FINANZIA;29J;ART 45 C 10 CCRL 19-21 - RIS BILANCIO INDENNITÀ;+
2023;REFR;U;UTILIZZO;02U;PROGR ECON ORIZZONTALI (STORICHE);+
2023;REFR;U;UTILIZZO;02V;PROGR ECON ORIZZONTALI (ANNO RIF.TO);+
2023;REFR;U;UTILIZZO;03H;INCENTIVI PRODUTTIVITÀ - PERFORMANCE;+
2023;REFR;U;UTILIZZO;03C;ART 17 C 8 CCRL 98-01 - PRESTAZIONI LAVORO STRAORDINARIO;+
2023;REFR;U;UTILIZZO;03E;ART 21 C 2 L E CCRL 98-01 - IND PARTICOLARI RESPONSABILITÀ;+
2023;REFR;U;UTILIZZO;03F;ART 21 C 2 L I CCRL 98-01 - IND STATO CIV ANAGR ELET TRIBUT;+
2023;REFR;U;UTILIZZO;03G;ART 48 CCRL 04-05 - IND FORME ASSOCIATIVE;+
2023;REFR;U;UTILIZZO;02Y;ARTT 3-4-5-6 CCRL 16-18 - IND CONDIZIONI DI LAVORO DIVERSE;+
2023;REFR;U;UTILIZZO;03B;ART 26 CCRL 16-18 - INDENNITÀ SERV. EST. POLIZIA LOCALE;+
2023;UNIV;F;FINANZIA;03O;ART 63 C 2 L A CCNL 16-18 - RIA PERS. BCD CESSATO MIS INTERA;+
2023;UNIV;F;FINANZIA;03U;ART 63 C 2 L E CCNL 16-18 - DIFF STIP BCD CESS ANNO PREC;+
2023;UNIV;F;FINANZIA;03W;ART 63 C 3 L D CCNL 16-18 - RIA CESS ANNO PREC MENS RESID;+
2023;UNIV;F;FINANZIA;03X;ART 63 C 3 L D CCNL 16-18 - DIFF STIP BCD CESS RATEO;+
2023;UNIV;F;FINANZIA;04J;ART 63 C 3 L F CCNL 16-18 - NUOVI SERVIZI O ACCR SERV ES;+
2023;UNIV;F;FINANZIA;04L;ART 64 C 6 CCNL 16-18 - RISORSE NON UTILIZZATE ANNO PRECED;+
2023;UNIV;F;FINANZIA;04N;DIFFERENZIALI STIPENDIALI A CARICO BILANCIO - RISORSE BCD;+
2023;RALN;F;FINANZIA;26O;ART 17 C 6 CCNL 19-21 - RIDUZIONE RISORSE DESTINATE INC. EQ;-
2023;REFR;U;UTILIZZO;02W;INCENTIVI ALTRE SPEC. DISP. NORMATIVE;+
2023;REFR;U;UTILIZZO;03D;ARTT 16 E 21 C 3 CCRL 98-01 - IND SPECIFICA E DI STAFF;+
2023;UNIV;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;ERIC;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;ENAC;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;MNST;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;EPNE;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;PCMD;F;FINANZIA;02P;ART 1 C 189 L 266/05 - DEC. FONDO RISPETTO LIMITE 2004-10%;-
2023;PCMD;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;UNIV;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;ERIC;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;ENAC;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;CNEL;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;EPNE;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;MNST;F;FINANZIA;76G;FONDO 2004 CERT ORG CONTR./PARTE FISSA (ART1 C189 L266/05);+
2023;EPNE;F;FINANZIA;11H;INCREMENTI CCNL 04-05 (ART. 7 C. 1 ALINEA 2 E 3);+
2023;ENAC;F;FINANZIA;11H;INCREMENTI CCNL 04-05 (ART. 7 C. 1 ALINEA 2 E 3);+
2023;MNST;F;FINANZIA;11H;INCREMENTI CCNL 04-05 (ART. 7 C. 1 ALINEA 2 E 3);+
2023;CNEL;F;FINANZIA;11H;INCREMENTI CCNL 04-05 (ART. 7 C. 1 ALINEA 2 E 3);+
2023;EPNE;F;FINANZIA;12H;INCREMENTI CCNL 06-09 (ART. 21 C. 1);+
2023;PCMD;F;FINANZIA;86G;INCREMENTI CCNL 08-09 (ART. 7 C. 1);+
2023;ENAC;F;FINANZIA;86G;INCREMENTI CCNL 08-09 (ART. 7 C. 1);+
2023;EPNE;F;FINANZIA;86G;INCREMENTI CCNL 08-09 (ART. 7 C. 1);+
2023;UNIV;F;FINANZIA;86G;INCREMENTI CCNL 08-09 (ART. 7 C. 1);+
2023;ERIC;F;FINANZIA;86G;INCREMENTI CCNL 08-09 (ART. 7 C. 1);+
