ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;DESC_MACROCATEGORIA;CODI_CATEGORIA;DESC_CATEGORIA;CODI_QUALIFICA;DESC_QUALIFICA
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042000;POSIZIONE ECONOMICA C2
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;046000;POSIZIONE ECONOMICA C5
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;046CF0;POSIZIONE ECONOMICA C5 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C9000;POSIZIONE ECONOMICA C9
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C7000;POSIZIONE ECONOMICA C7
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;097000;POSIZIONE ECONOMICA C6
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;0C8000;POSIZIONE ECONOMICA C8
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;043CF0;POSIZIONE ECONOMICA C3 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;045000;POSIZIONE ECONOMICA C4
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040CF0;POSIZIONE ECONOMICA C1 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;045CF0;POSIZIONE ECONOMICA C4 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;048000;POSIZIONE ECONOMICA D1
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D7CF0;POSIZIONE ECONOMICA D7 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;051000;POSIZIONE ECONOMICA D4
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D6000;POSIZIONE ECONOMICA D6
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;049000;POSIZIONE ECONOMICA D2
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D7000;POSIZIONE ECONOMICA D7
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;050000;POSIZIONE ECONOMICA D3
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;0D6CF0;POSIZIONE ECONOMICA D6 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;052CF0;POSIZIONE ECONOMICA D5 CORPO FORESTALE
2023;RESI;ND;PERSONALE NON DIRIGENTE;CD;CATEGORIA D;052000;POSIZIONE ECONOMICA D5
2023;RESI;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2023;RESI;AP;ALTRO PERSONALE;DG;DIRETTORI GENERALI;0D0097;DIRETTORE  GENERALE
2023;RESI;NF;DIRIGENTI;DI;DIRIGENTI;0D0079;QUALIFICA DIRIGENZIALE A TEMPO INDETERMINATO 2^ FASCIA
2023;RESI;NF;DIRIGENTI;DI;DIRIGENTI;0D0077;QUALIFICA DIRIGENZIALE ATEMPO INDETERMINATO 1^ FASCIA
2023;RESI;NF;DIRIGENTI;DI;DIRIGENTI;0D0099;QUALIFICA DIRIGENZIALE TEMPO DETER.
2023;RESI;NF;DIRIGENTI;DI;DIRIGENTI;0D0918;QUALIFICA DIRIGENZIALE A TEMPO INDETERMINATO 3^ FASCIA
2023;RESI;NF;DIRIGENTI;DI;DIRIGENTI;0D0104;SEGRETARIO GENERALE CCIAA
2023;REVA;ND;PERSONALE NON DIRIGENTE;CA;CATEGORIA A;022000;POSIZIONE ECONOMICA A
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042324;POS. EC. C2- MARESCIALLO FORESTALE
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040000;POSIZIONE ECONOMICA C1
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042CA0;POSIZIONE ECONOMICA C2  COLLAB. TECNICO ANTINCENDI  VVFF
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040211;POS. EC. C1-BRIGADIERE FORESTALE
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042000;POSIZIONE ECONOMICA C2
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;040CS1;POSIZIONE ECONOMICA C1  CAPO SQUADRA  VVFF
2023;REVA;ND;PERSONALE NON DIRIGENTE;CC;CATEGORIA C;042CR1;POSIZIONE ECONOMICA C2  CAPO REPARTO  VVFF
2023;REVA;AP;ALTRO PERSONALE;PC;PERSONALE CONTRATTISTA;000061;CONTRATTISTI
2023;REVA;NF;DIRIGENTI;DI;DIRIGENTI;0D0164;DIRIGENTI
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0PSE;PRESIDENTE DI SEZIONE ED EQUIP.
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0COE;CONSIGLIERE DI STATO ED EQUIP.
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0844;PRESIDENTE AGGIUNTO
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0374;PRESIDENTE CONSIGLIO DI STATO
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0376;REFERENDARIO
2023;CSTA;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0362;I REFERENDARIO
2023;AVST;MG;PERSONALE DELLA MAGISTRATURA;G1;MAGISTRATI;0D0381;AVVOCATO GENERALE
