ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C4757;REFR;CD;29474;0;2841;0;6978;0
C4757;REFR;XA;25883,5;0;2157;835;2844;1916
C4757;REFR;XB;31868;767;3950;9728;21882;0
C663;REFR;CC;23976,31;0;1250,29;519,99;1347,97;891,58
C663;REFR;CB;21296,79;26;1142,49;801,98;1184,18;2491,28
C663;REFR;CD;27258,69;0;180,98;86,56;11145,25;8575,08
C663;REFR;XA;25208;0;2115;41;2952;1915
C2641;REFR;CC;25158,26;0;2096,35;526,43;1532,61;2208
C2641;REFR;CB;20738;0;1728;120;1422;2545
C2641;REFR;CD;27469;0;2899,33;0;8833;0
C2641;REFR;XA;26418,5;121;2211,5;1044;3083;5265
C6240;REFR;CC;24493;0;2041;293,5;1319,5;1136,5
C6240;REFR;CB;20166,67;0;1867,11;14,67;1152,44;2176
C6240;REFR;CD;29474;0;2456;74;1488;2783
C6240;REFR;XA;24060;0;2005;0;2763;4975
C5771;REFR;CC;24713,85;81,21;2048,2;366,79;1322,01;442,88
C5771;REFR;CB;21627;0;1804,5;427;1190;223,5
C5771;REFR;CD;29320,5;0;3074;0;8993,5;978,5
C5928;REFR;CC;24348,67;0;2029;0;1318,67;1118
C5928;REFR;CB;20853,75;0;1739;0;1170,75;294
C5928;REFR;CD;27469;0;2289;0;7320;618,67
C7236;REFR;CC;24308,14;25,94;2035,12;284,61;1321,31;2279,19
C7236;REFR;CB;20996,69;70,51;1756,69;437,26;1171,09;2949,37
C7236;REFR;CD;29456;0;3015;1149,83;10105;1791
C7236;REFR;XA;25010,77;0;2084,08;506,31;2830,62;3713,77
C7236;REFR;XB;28651;0;2985;0;12220;0
C7236;REFR;XS;22784;276;1900;0;1223;2512
C5237;REFR;CA;19815;217;1676;0;1722;1385
C5237;REFR;CC;24858,03;23,81;2077,56;170,1;1306,53;1210,25
C5237;REFR;CB;21165,13;0;1847,46;147,76;1137,31;1369,07
C5237;REFR;CD;28724,9;61,66;1978,76;862,34;13287,52;132,21
C5237;REFR;XA;25746,75;0;2154,75;618;2683,87;3898,12
C5237;REFR;XB;30552;0;2556;553;2942;2286
C7134;REFR;CC;24226;0;2065,71;137,71;1322;1246,29
C7134;REFR;CB;22471,68;22,08;1833,12;379,2;1157,76;3375,84
C7134;REFR;CD;27469;0;4964;141;1477;1917
C3741;REFR;CC;24446,53;0;2475,16;166,11;1355,05;2505,79
C3741;REFR;CB;20192,43;0;1613,19;235,46;1152,65;2055,57
C4355;REFR;CC;24492,46;0;2025,89;171,11;1320,18;1435,42
C4355;REFR;CB;21757,5;56,19;1819,38;18,92;1181,88;1902,58
C4355;REFR;CD;27863;0;2322;0;5993;842,33
C6463;REFR;FP;41779;0;5113;0;25786;10461
C6463;REFR;CA;20508;0;1709;1;1812;2453
C6463;REFR;CC;24911,92;22,82;2063,58;446,37;1323,3;2663,07
C6463;REFR;CB;20698,79;0;1723,58;82,28;1156,17;1718,34
C6463;REFR;CD;28936,55;0;2759,27;550,36;6944,36;1653,45
C6588;REFR;CC;24655,96;0;2138,7;141,89;1403,92;2092,96
C6588;REFR;CB;20909,82;0;1743,59;109,32;1158,47;2055,78
C6588;REFR;CD;32103;220;3400;378;13137;0
C7342;REFR;CC;25122,58;61,09;2091,47;255,75;1325,69;4183,09
C7342;REFR;CB;21653;0;1806;231;1180,67;3348,67
