ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
P9068;RALN;DI;0D0164;C01;1;0
R9190;RALN;DI;0D0164;C99;0;1
C5386;RALN;DI;0D0164;C18;1;0
C2245;RALN;DI;0D0164;C18;1;0
C5961;RALN;DI;0D0164;C99;1;0
CM9036;RALN;DI;0D0164;C01;1;1
C5653;RALN;DI;0D0164;C03;0;1
C3850;RALN;DI;0D0164;C99;0;1
C4171;RALN;DI;0D0164;C01;1;0
CM9036;RALN;DI;0D0164;C99;1;0
CM9084;RALN;DI;0D0164;C21;1;0
C2072;RALN;DI;0D0164;C01;1;0
C4712;RALN;DI;0D0164;C03;1;0
C3573;RALN;DI;0D0164;C99;1;0
CM9084;RALN;DI;0D0164;C03;1;0
C1504;RALN;DI;0D0164;C01;1;0
P10801;RALN;DI;0D0164;C03;1;0
R9205;RALN;DI;0D0164;C28;1;1
CM9114;RALN;DI;0D0164;C01;1;0
ER12738;RALN;DI;0D0164;C01;0;1
C7995;RALN;DI;0D0164;C18;0;1
C792;RALN;DI;0D0164;C03;1;0
C2204;RALN;DI;0D0164;C01;1;0
C1128;RALN;DI;0D0164;C21;1;0
C3659;RALN;DI;0D0164;C03;1;0
C2378;RALN;DI;0D0164;C03;1;0
C2909;RALN;DI;0D0164;C99;0;1
C5096;RALN;DI;0D0164;C01;1;0
C3115;RALN;DI;0D0164;C28;1;0
C4712;RALN;DI;0D0164;C28;0;1
CM9114;RALN;DI;0D0164;C18;1;0
C5386;RALN;DI;0D0164;C01;0;1
PA88;RALN;DI;0D0164;C03;1;0
C963;RALN;DI;0D0164;C01;1;0
P9039;RALN;DI;0D0164;C99;0;1
C2983;RALN;DI;0D0164;C21;1;0
C2591;RALN;DI;0D0164;C99;0;1
C7987;RALN;DI;0D0164;C01;1;0
CS10052;RALN;DI;0D0164;C18;1;0
C5015;RALN;DI;0D0164;C18;1;0
C626;RALN;DI;0D0164;C03;1;0
PA94;RALN;DI;0D0164;C03;1;0
C585;RALN;DI;0D0164;C99;1;0
R9205;RALN;DI;0D0164;C01;1;0
P9029;RALN;DI;0D0164;C01;1;0
C5131;RALN;DI;0D0164;C18;1;0
P9045;RALN;DI;0D0164;C01;1;0
C5512;RALN;DI;0D0164;C28;0;1
C425;RALN;DI;0D0164;C28;1;0
C7068;RALN;DI;0D0164;C28;1;0
V9718;RALN;DI;0D0164;C18;1;0
C8129;RALN;DI;0D0164;C18;1;0
CM9102;RALN;DI;0D0164;C03;1;0
C7504;RALN;DI;0D0164;C03;1;0
P9085;RALN;DI;0D0164;C03;0;1
T11072;RALN;DI;0D0164;C03;1;0
C4326;RALN;DI;0D0164;C28;1;0
C5226;RALN;DI;0D0164;C18;1;0
V12896;RALN;DI;0D0164;C18;0;1
C4492;RALN;DI;0D0164;C18;1;0
C1889;RALN;DI;0D0164;C28;2;0
UC11829;RALN;DI;0D0164;C99;1;0
C5226;RALN;DI;0D0164;C99;1;0
C1095;RALN;DI;0D0164;C03;1;0
C910;RALN;DI;0D0164;C18;1;1
CM12343;RALN;DI;0D0164;C03;1;1
C7844;RALN;DI;0D0164;C03;0;1
N8868;RALN;DI;0D0164;C01;1;0
C6938;RALN;DI;0D0164;C03;1;0
C5226;RALN;DI;0D0164;C28;0;1
R9192;RALN;DI;0D0164;C19;0;1
RA10346;RALN;DI;0D0164;C01;1;0
C7892;RALN;DI;0D0164;C28;1;0
R9192;RALN;DI;0D0164;C28;0;1
C2294;RALN;DI;0D0164;C99;1;0
R9192;RALN;DI;0D0164;C21;0;1
C350;RALN;DI;0D0164;C01;2;0
C1510;RALN;DI;0D0164;C99;1;0
C3263;RALN;DI;0D0164;C18;1;0
ER11898;RALN;DI;0D0164;C01;1;1
C4513;RALN;DI;0D0164;C03;1;0
C2928;RALN;DI;0D0164;C03;0;1
R9192;RALN;DI;0D0164;C01;0;1
V12403;RALN;DI;0D0164;C01;1;0
R9199;RALN;DI;0D0164;C21;1;0
D8324;RALN;DI;0D0164;C19;1;0
V9731;RALN;DI;0D0164;C18;1;0
C4347;RALN;DI;0D0164;C03;1;0
R9202;RALN;DI;0D0164;C03;0;1
C3765;RALN;DI;0D0164;C03;1;0
C4347;RALN;DI;0D0164;C28;0;1
ER11087;RALN;DI;0D0164;C01;1;0
C7571;RALN;DI;0D0164;C28;1;0
C5064;RALN;DI;0D0164;C18;0;1
C3000;RALN;DI;0D0164;C19;1;0
C7850;RALN;DI;0D0164;C03;1;0
C5057;RALN;DI;0D0164;C28;0;1
C8150;RALN;DI;0D0164;C21;1;0
C7850;RALN;DI;0D0164;C28;0;1
C6755;RALN;DI;0D0164;C99;1;0
C2989;RALN;DI;0D0164;C28;1;0
R9201;RALN;DI;0D0164;C03;1;1
C6709;RALN;DI;0D0164;C03;1;0
C3592;RALN;DI;0D0164;C18;1;0
R9201;RALN;DI;0D0164;C99;1;0
C2525;RALN;DI;0D0164;C99;1;0
C3592;RALN;DI;0D0164;C01;1;0
C7516;RALN;DI;0D0164;C18;1;0
C2989;RALN;DI;0D0164;C03;2;0
PA98;RALN;DI;0D0164;C99;1;0
C2989;RALN;DI;0D0164;C01;0;1
CS11914;RALN;DI;0D0164;C01;1;0
R9202;RALN;DI;0D0164;C01;1;2
R9201;RALN;DI;0D0164;C01;2;1
P9111;RALN;DI;0D0164;C03;1;0
R9197;RALN;DI;0D0164;C03;0;3
ER9949;RALN;DI;0D0164;C18;1;1
C6874;RALN;DI;0D0164;C99;1;0
C4308;RALN;DI;0D0164;C01;1;0
C6561;RALN;DI;0D0164;C99;1;0
V9772;RALN;DI;0D0164;C18;1;0
C7484;RALN;DI;0D0164;C21;4;2
ER9949;RALN;DI;0D0164;C99;1;0
C6699;RALN;DI;0D0164;C03;1;0
P9106;RALN;DI;0D0164;C28;1;0
C4877;RALN;DI;0D0164;C99;1;0
C7484;RALN;DI;0D0164;C99;1;0
C7484;RALN;DI;0D0164;C01;1;1
P10803;RALN;DI;0D0164;C01;2;0
CM12344;RALN;DI;0D0164;C01;1;0
C5761;RALN;DI;0D0164;C03;0;1
C5592;RALN;DI;0D0164;C18;1;0
C492;RALN;DI;0D0164;C99;1;0
C5732;RALN;DI;0D0164;C99;0;1
C3766;RALN;DI;0D0164;C21;1;0
C2885;RALN;DI;0D0164;C18;1;0
CM9123;RALN;DI;0D0164;C18;1;0
V14220;RALN;DI;0D0164;C03;1;0
C4308;RALN;DI;0D0164;C99;0;1
C6874;RALN;DI;0D0164;C18;1;0
C7484;RALN;DI;0D0164;C03;1;1
C2958;RALN;DI;0D0164;C03;1;0
CM9123;RALN;DI;0D0164;C01;1;0
C2404;RALN;DI;0D0164;C03;1;0
C963;RALN;DI;0D0164;C21;0;1
ER9953;RALN;DI;0D0164;C18;1;0
C528;RALN;DI;0D0164;C99;0;1
UC11070;RALN;DI;0D0164;C01;1;0
C4818;RALN;DI;0D0164;C28;6;1
C7249;RALN;DI;0D0164;C01;2;0
C730;RALN;DI;0D0164;C03;0;1
C7892;RALN;DI;0D0164;C21;1;0
C1501;RALN;DI;0D0164;C18;1;0
C4818;RALN;DI;0D0164;C18;1;0
C4818;RALN;DI;0D0164;C01;3;0
C2642;RALN;DI;0D0164;C01;1;0
C6867;RALN;DI;0D0164;C28;1;0
C3977;RALN;DI;0D0164;C19;1;0
C2158;RALN;DI;0D0164;C18;0;1
C6144;RALN;DI;0D0164;C01;4;2
C6144;RALN;DI;0D0164;C03;6;1
C6144;RALN;DI;0D0164;C99;2;1
ER9954;RALN;DI;0D0164;C03;1;0
C6144;RALN;DI;0D0164;C28;0;1
C4054;RALN;DI;0D0164;C18;0;1
C2731;RALN;DI;0D0164;C99;1;0
C6867;RALN;DI;0D0164;C99;1;0
P9037;RALN;DI;0D0164;C03;1;0
R9209;RALN;DI;0D0164;C01;1;0
C7344;RALN;DI;0D0164;C01;1;0
C3406;RALN;DI;0D0164;C18;0;1
R9209;RALN;DI;0D0164;C03;3;0
C3119;RALN;DI;0D0164;C01;1;0
C5502;RALN;DI;0D0164;C03;1;0
ES158;RALN;DI;0D0164;C03;1;0
C2791;RALN;DI;0D0164;C19;1;0
P9110;RALN;DI;0D0164;C21;0;1
R9200;RALN;DI;0D0164;C21;1;0
C6296;RALN;DI;0D0164;C18;1;0
C671;RALN;DI;0D0164;C01;1;0
C6704;RALN;DI;0D0164;C99;0;1
R9813;RALN;DI;0D0164;C01;1;0
R9813;RALN;DI;0D0164;C03;1;3
C3697;RALN;DI;0D0164;C99;1;0
C7967;RALN;DI;0D0164;C99;1;0
C7929;RALN;DI;0D0164;C18;1;0
C7929;RALN;DI;0D0164;C01;0;2
C4674;RALN;DI;0D0164;C18;1;0
R9813;RALN;DI;0D0164;C03;0;1
C2383;RALN;DI;0D0164;C18;1;0
IP10343;RALN;DI;0D0164;C28;0;1
C3042;RALN;DI;0D0164;C18;2;0
C3751;RALN;DI;0D0164;C99;1;0
C1869;RALN;DI;0D0164;C18;0;1
CM9053;RALN;DI;0D0164;C99;1;0
C7349;RALN;DI;0D0164;C01;1;0
R9196;RALN;DI;0D0164;C18;0;1
C859;RALN;DI;0D0164;C01;1;0
C4409;RALN;DI;0D0164;C99;1;0
C4409;RALN;DI;0D0164;C18;1;0
C8307;RALN;DI;0D0164;C03;1;0
C859;RALN;DI;0D0164;C03;1;0
C6296;RALN;DI;0D0164;C01;1;0
R9196;RALN;DI;0D0164;C03;1;0
C5698;RALN;DI;0D0164;C28;1;0
V12905;RALN;DI;0D0164;C99;1;0
R9196;RALN;DI;0D0164;C01;3;4
C3374;RALN;DI;0D0164;C03;0;1
C1701;RALN;DI;0D0164;C01;1;0
C5971;RALN;DI;0D0164;C18;1;0
C4309;RALN;DI;0D0164;C03;0;1
C5971;RALN;DI;0D0164;C03;1;0
C5016;RALN;DI;0D0164;C99;0;1
C859;RALN;DI;0D0164;C21;1;0
C2511;RALN;DI;0D0164;C01;1;0
C4888;RALN;DI;0D0164;C99;0;1
C630;RALN;DI;0D0164;C01;2;0
C344;RALN;DI;0D0164;C28;0;1
C1701;RALN;DI;0D0164;C18;0;1
C3042;RALN;DI;0D0164;C03;1;0
C5336;RALN;DI;0D0164;C01;0;1
C4204;RALN;DI;0D0164;C99;1;0
C7120;RALN;DI;0D0164;C18;1;0
C3737;RALN;DI;0D0164;C03;1;0
